Entradas do CV - Marcelo Rodrigues Ribeiro
section,title,loc,institution,start,end,description_1,description_2,description_3,in_resume
Formação,Pós-graduação em Inteligência Artificial e Aprendizado de Máquina,"Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)","Belo Horizonte, MG, Brasil (Online)",2024,,"Algoritmos de Machine Learning e Deep Learning; Processamento de Linguagem Natural e técnicas avançadas de Inteligência Artificial.",,, TRUE
Formação,"Pós-graduação 'lato sensu' - Especialização em Ciência de Dados e Big Data","Pontifícia Universidade Católica de Minas Gerais (PUC MINAS)","Belo Horizonte, MG, Brasil",2019,2021,"Competências e habilidades para entender as estratégias e necessidades do negócio; gerenciando e desenvolvendo soluções de análise em grandes volumes de dados.",,, TRUE
Formação,Bacharelado em Estatística,"Universidade Federal de Minas Gerais (UFMG)","Belo Horizonte, MG, Brasil",2006,2011,"Formação de profissional habilitado para planejar a coleta; processamento e análise de dados; gerando informação para tomada de decisão.",,, TRUE
industry_positions,Analista de Dados,"Ministério da Gestão e da Inovação em Serviços Públicos (MGI)","Brasília, DF, Brasil",2023,,"Extração e tratamento de bases de dados para geração de informações estratégicas e gerenciais.","Construção de variáveis e indicadores relacionados à Secretaria de Gestão de Pessoas (SGP).","Aplicação de técnicas de análise e interpretação dos dados para subsidiar a tomada de decisão.", TRUE
industry_positions,"Analista do Seguro Social – Estatístico","Ministério da Economia (ME)","Brasília, DF, Brasil",2018,2023,"Coordenação de Inteligência Previdenciária e trabalhista – Coordenação de Informações Estratégicas (CIEST).","Análise de dados para aprimorar a capacidade de prevenção e detecção de esquemas criminosos que atuam em detrimento da Previdência e do Trabalho.",, TRUE
industry_positions,"Analista do Seguro Social – Estatístico","Instituto Nacional do Seguro Social (INSS)","Brasília, DF, Brasil",2014,2018,Coordenação-Geral de Recursos Logísticos.,"Análises das despesas operacionais e acompanhamento da execução financeira; com vistas à manutenção logística das unidades descentralizadas do Instituto.",, TRUE
industry_positions,Polícia Militar,"Polícia Militar de Minas Gerais (PMMG)","Belo Horizonte, MG, Brasil",2007,2014,"Desenvolvimento e disseminação do conhecimento sobre o gerenciamento da informação e aplicação de estatística à análise do Sistema Criminal.",,, TRUE
teaching_positions,"Big Data Analytics com R e Microsoft Azure Machine Learning","Data Science Academy (DSA)",N/A,,2021,Fluxo de trabalho de Machine Learning utilizando o R e Microsoft Azure.,"[Certificado](https://github.com/Mar-celo/CV_Marcelo/blob/master/docs/certificados/certificate-big-data-analytics-com-r-e-microsoft-azure-machine-learning.pdf)",,TRUE
teaching_positions,Bootcamp Analista de Dados,"Instituto de Gestão e Tecnologia da Informação (IGTI)",N/A,,2020,"Estatística e dados para a visão de negócios; Ferramentas de BI e Data Analysis.","[Certificado](https://github.com/Mar-celo/CV_Marcelo/blob/master/docs/certificados/Marcelo%20Rodrigues%20RibeiroBootcamp%20Analista%20de%20Dados.pdf)",,TRUE
teaching_positions,Microsoft Power BI para Data Science,"Data Science Academy (DSA)",N/A,,2020,"Power BI: construção de dashboards interativos; conexão e extração de dados; automatização de processos e análise de dados.","[Certificado](https://github.com/Mar-celo/CV_Marcelo/blob/master/docs/certificados/certificate-pwbi.pdf)",,TRUE
teaching_positions,"Text Mining – Mineração de Texto",Inferir Estatística,N/A,,2020,"Técnicas de mineração e análise de texto para obter informação quantitativa a partir de texto; por meio da aprendizagem estatística.","[Certificado](https://github.com/Mar-celo/CV_Marcelo/blob/master/docs/certificados/Text_Mining.pdf)",,TRUE
teaching_positions,Machine Learning - Python,"Escola Nacional de Administração Pública (ENAP)","Brasília, DF, Brasil",,2019,"Fluxo de trabalho de Machine Learning com Python: Numpy; Pandas; Sci-kit Learn; Matplotlib.","[Certificado](https://github.com/Mar-celo/CV_Marcelo/blob/master/docs/certificados/tmp506od2ag.pdf)",,TRUE
teaching_positions,"R Intermediário (Métodos quantitativos)","Escola Nacional de Administração Pública (ENAP)","Brasília, DF, Brasil",,2019,"Introdução ao tidyverse; transformação e visualização de dados; estrutura de programação; introdução à programação funcional.","[Certificado](https://github.com/Mar-celo/CV_Marcelo/blob/master/docs/certificados/R_intermediario.pdf)",,TRUE
